# ssearch36 -m 8C test_data/pone.0192851.s009.faa test_data/pone.0192851.s009.faa
# SSEARCH 36.3.8h Aug, 2019
# Query: 1.A.17.1.1 - 986 aa
# Database: test_data/pone.0192851.s009.faa
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 50 hits found
1.A.17.1.1	1.A.17.1.1	100.00	986	0	0	1	986	1	986	0	1608.8
1.A.17.1.1	1.A.17.1.3	63.30	910	334	27	53	985	90	1003	0	937.0
1.A.17.1.1	1.A.17.1.2	46.16	769	414	80	118	941	81	874	1e-147	514.1
1.A.17.1.1	1.A.17.1.4	43.37	814	461	128	25	934	33	878	1.2e-139	487.3
1.A.17.1.1	1.A.17.1.7	38.33	741	457	117	118	926	300	1089	4.9e-102	362.8
1.A.17.1.1	1.A.17.1.5	42.12	622	360	103	263	967	131	772	1e-98	351.2
1.A.17.1.1	1.A.17.1.8	36.42	637	405	186	124	865	103	820	7e-54	202.5
1.A.17.1.1	1.A.17.1.6	33.76	705	467	201	121	929	341	1142	4.1e-49	187.1
1.A.17.1.1	1.A.17.1.9	30.94	669	462	128	128	864	37	765	3e-47	180.3
1.A.17.1.1	1.A.17.1.14	33.80	503	333	122	194	811	311	820	2.9e-42	163.9
1.A.17.1.1	1.A.17.1.16	34.50	429	281	138	275	823	490	936	8.3e-32	129.6
1.A.17.1.1	1.A.17.1.10	30.39	510	355	165	224	815	119	711	1.7e-24	104.7
1.A.17.1.1	1.A.17.1.15	29.36	361	255	59	402	810	184	555	6.1e-23	99.2
1.A.17.1.1	1.A.17.1.13	31.28	390	268	124	316	811	855	1262	3e-22	98.0
1.A.17.1.1	1.A.17.1.11	30.93	540	373	161	129	810	24	582	7.7e-22	95.6
1.A.17.1.1	1.A.17.1.17	33.99	456	301	159	246	825	107	597	7.8e-20	89.1
1.A.17.1.1	1.A.17.1.12	30.02	493	345	144	232	826	623	1157	1.8e-17	82.3
1.A.17.1.1	1.A.17.1.18	30.14	355	248	82	409	826	217	590	3.8e-17	80.1
